"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Australia","AUS","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.8834042627782","","","","","31.6101579909812","","","","","33.8320687954829","","","","","33.4924203994519","","","","","32.9709729750069","36.3234231456682","30.6545427136297","28.2740594586091","27.1055138379226","26.0466667521997","24.9042085244703","24.8935837696774","","",
"Austria","AUT","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.65557001905","","","","","99.2324566196394","","","","","98.6784258759277","","","","","99.1482984298898","","","","","98.4515418523421","99.2571707780935","97.4101430930591","95.7683551530782","93.7856719726694","91.4744653522326","85.0159346896433","85.0515376653505","","",
"Azerbaijan","AZE","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Burundi","BDI","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Belgium","BEL","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8690949002724","","","","","99.6368919876792","","","","","99.2754155655164","","","","","98.9978822682005","","","","","99.4955888679424","99.3547420632009","98.42810981097","96.8022928575475","94.4891524267585","95.1043453766346","91.7891148256158","91.9485403518636","","",
"Benin","BEN","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Burkina Faso","BFA","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Bangladesh","BGD","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Bulgaria","BGR","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.954661962427","","","","","99.9538252143842","","","","","99.9619335362535","","","","","99.9631116184999","","","","","99.9643895445421","99.9646504112679","99.964937755683","99.9652794693565","99.9657025025398","99.9662317940315","99.8934934401901","99.8946743201431","","",
"Bahrain","BHR","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Bahamas, The","BHS","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","99.999999999342","99.9999999987","99.9999999987145","99.9999999917302","99.9999999918088","","",
"Bosnia and Herzegovina","BIH","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","99.9554469178915","99.9552350286901","","",
"Belarus","BLR","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","99.9313519680704","","",
"Belize","BLZ","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Bermuda","BMU","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Bolivia","BOL","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","99.9997322955159","99.9974859925192","99.9991320215104","","",
"Brazil","BRA","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.9953305952514","","","","","89.4913766815271","","","","","90.7914047732454","","","","","89.7840830783103","","","","","90.9381232942568","91.9283745885836","86.829230250407","85.3347137545434","77.1164730889402","74.9277515309761","67.9525591753989","68.1350300575805","","",
"Barbados","BRB","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Brunei Darussalam","BRN","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0","","","","","0","","","","","1.76213857046846","","","","","1.76724442391376","1.76792014230185","1.76851769860472","0","0","0","0","0","","",
"Bhutan","BTN","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Botswana","BWA","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Central African Republic","CAF","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Canada","CAN","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2129160758206","","","","","12.9122313537955","","","","","11.021317490341","","","","","19.6026822515034","","","","","13.6672176250704","18.7208185459221","8.33818394514693","6.63032676828626","2.02339152072758","0.725554041704435","0","0","","",
"Central Europe and the Baltics","CEB","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.945832647885","","","","","98.7661832593261","","","","","98.7547788957345","","","","","98.7789256307059","","","","","98.7908811585309","98.7822242520859","98.6085358281538","98.5358267459044","98.3608018285833","98.4203707337563","97.9665239424643","97.949799120324","","",
"Switzerland","CHE","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.4286654928097","","","","","95.1002489908761","","","","","92.7305802837176","","","","","93.5750613398087","","","","","93.0007045460388","94.7852350840776","91.8209143581515","86.9104974533489","78.499186393826","72.3111073443463","49.3394536369063","49.3001362303515","","",
"Channel Islands","CHI","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3502024069026","","","","","99.3737590980865","","","","","99.2449699760891","","","","","99.272596170052","","","","","99.2864982318215","99.3197611890526","99.2994810676024","99.301999621247","99.1504517547802","98.5762989258251","97.594418737426","97.6630177077565","","",
"China","CHN","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","99.999996120588","","","","","99.999996861798","","","","","99.9999974253327","99.9999975448802","99.999992994816","99.9999905399797","99.9999584481301","99.9999551645374","99.9982986494764","99.9982944622564","","",
"Cote d'Ivoire","CIV","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Cameroon","CMR","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Congo, Dem. Rep.","COD","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Congo, Rep.","COG","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Colombia","COL","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6968906582897","","","","","99.7564116385534","","","","","99.7168335535248","","","","","99.8770854967477","","","","","99.8760372413248","99.8381953006909","99.8561801263407","99.3528605884275","97.4810442275854","96.3381509958462","92.7433952370884","92.1046289822956","","",
"Comoros","COM","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Cabo Verde","CPV","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Costa Rica","CRI","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999999981167","","","","","99.9999999983783","","","","","99.999999999712","","","","","99.999999999758","","","","","99.9999999997965","99.9999999998436","99.9999999997792","99.9999999997354","99.9999999996518","99.9799860248742","99.7170666602465","99.6887933668832","","",
"Caribbean small states","CSS","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999999996798","","","","","99.9999999996928","","","","","100","","","","","100","","","","","100","100","100","99.9999999999658","99.9999999999324","99.9999795194648","99.9988815680198","99.9987380886081","","",
"Cuba","CUB","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999999999186","","","","","99.9999999999208","","","","","99.9999999999807","","","","","99.999999999981","","","","","99.999999999981","99.999999999981","99.9999999999811","99.9999999999811","99.9999999999811","99.9999999999811","99.9999999999812","99.9999999999811","","",
"Curacao","CUW","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Czech Republic","CZE","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9816845986973","","","","","99.9815721201174","","","","","99.9673515864133","","","","","99.9677573474524","","","","","99.9684096538509","99.9685195195117","99.9434717498816","99.9272010224121","99.9178608517105","99.8282838822608","99.674855479732","99.6772126159304","","",
"Germany","DEU","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7557906789743","","","","","99.6466063589806","","","","","99.4071861879019","","","","","99.1848609756882","","","","","99.599440069301","99.4480294451265","98.2950679634862","97.8463215365016","95.7252958815951","95.9525959398708","89.1546627249363","89.1743564300489","","",
"Djibouti","DJI","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Dominica","DMA","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Denmark","DNK","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9617372631112","","","","","99.5492792428496","","","","","97.9660948944068","","","","","97.1396754720324","","","","","96.0990141660438","98.9586816259961","85.4742336319957","78.750293564805","82.8343073187766","75.1874411831808","57.0917623810824","56.9144561104444","","",
"Dominican Republic","DOM","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999999993361","","","","","99.9999999993935","","","","","100","","","","","100","","","","","100","100","100","99.999999999966","99.9785717266658","99.9785982241453","99.9138839065148","99.9134426224712","","",
"Algeria","DZA","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"East Asia & Pacific (excluding high income)","EAP","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6738760974672","","","","","99.6693268097589","","","","","99.6017690529974","","","","","99.8489507851146","","","","","99.5143328895475","99.7213050009239","99.9098379663383","99.1693917700464","99.1349190109853","99.3830913417769","99.1388626231974","99.0928785890429","","",
"Early-demographic dividend","EAR","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7782557338696","","","","","99.7826949765079","","","","","99.7399073273137","","","","","99.9010854544884","","","","","99.6874310862234","99.8268183057645","99.9416503873947","99.4854882779455","99.4513487607709","99.5894390227595","99.3843989922577","99.3532372975082","","",
"East Asia & Pacific","EAS","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3818014628284","","","","","98.3936157541226","","","","","98.3259836399636","","","","","98.5588081604764","","","","","98.2666492864469","98.4822208937371","98.3829309596866","97.7224145096199","97.5620111190887","97.8181164538801","96.844817115011","96.8776644238608","","",
"Europe & Central Asia (excluding high income)","ECA","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.562489176341","","","","","98.1069239600244","","","","","98.3205070801727","","","","","98.3376047610945","","","","","98.5497672171691","98.4009424041826","98.1499762413229","97.4572363260752","97.178999674482","96.7617365993852","96.3955061478118","96.3860616408219","","",
"Europe & Central Asia","ECS","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.8169992480937","","","","","94.226643462059","","","","","93.9813402769843","","","","","93.855194220318","","","","","93.601815221852","94.357912302744","92.2759945908853","91.0812367912029","88.3121938509462","88.6173993555465","85.0802688791969","85.0690043235005","","",
"Ecuador","ECU","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9810706530859","","","","","99.9892858536742","","","","","99.9858101216086","","","","","99.9990192438351","","","","","99.9997174919515","99.9970926667125","99.9987848993188","99.9745398507742","99.6352008949127","99.3891695178291","98.6523483664329","98.3156239365569","","",
"Egypt, Arab Rep.","EGY","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Euro area","EMU","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.0091791653948","","","","","92.4722243195503","","","","","92.0367235292536","","","","","91.9850936659645","","","","","91.4322079483198","92.6537634812442","89.2912121729075","87.6573948585411","82.7703995682895","84.3963316679923","77.2574907737922","77.3693233852751","","",
"Eritrea","ERI","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"Spain","ESP","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.5763867053122","","","","","76.3521627114267","","","","","75.0308004263397","","","","","74.1582474024899","","","","","72.1511076627807","78.7273850045324","68.4927048970665","60.6831517972401","47.7191476810775","55.1527248746452","40.7243850026145","41.115549425172","","",
"Estonia","EST","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.1562110470774","","","","","6.88729939449764","","","","","5.02580753807447","","","","","5.82142832079895","","","","","6.47601161388065","6.16984936199787","1.17870826630763","0.263896000442954","0.258944001487604","0","0","0","","",
"Ethiopia","ETH","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"European Union","EUU","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.7197013607914","","","","","92.0895256755997","","","","","91.5912980884572","","","","","91.5153492267281","","","","","90.9101911133578","92.1266900072317","88.9583477037956","87.4658460613903","82.8834364582455","83.8644826220312","78.1804199030222","78.1442280513278","","",
"Fragile and conflict affected situations","FCS","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","99.9999999998365","99.9999999997556","99.9999999997557","99.999923555619","99.9998131259009","","",
"Finland","FIN","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.62737385915356","","","","","0.673758399155855","","","","","0","","","","","0.724678785882815","","","","","0.735149620011244","0.737042448155822","0","0","0","0","0","0","","",
"Fiji","FJI","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999999956397","","","","","99.9999999959046","","","","","100","","","","","100","","","","","100","100","100","99.9999999992591","99.9942643385562","99.978648421315","93.6940546750848","82.8031823467088","","",
"France","FRA","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7744510977107","","","","","99.6253538132954","","","","","99.3734142385658","","","","","99.60444501196","","","","","99.4790077683923","99.6981801376818","98.6115277752574","97.4091022972142","87.8452497212201","90.4121184733779","78.2774978742629","78.2135639205549","","",
"Faroe Islands","FRO","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","99.9999999976209","99.9999999976395","99.9999999836124","99.9999999837514","","",
"Gabon","GAB","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
"United Kingdom","GBR","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.1390847523653","","","","","89.5804588905897","","","","","88.2474263818387","","","","","88.6541863617548","","","","","87.5024347222583","90.3821512983428","84.7873426670964","82.4165941402516","72.0666771997428","71.9634942035637","67.1006731271173","66.5332490328298","","",
"Georgia","GEO","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","",
